run_id,epoch,update,field,pressure_hpa,baseline_mse,residual_mse
r2p8_w256_di32,4,1696,geopotential,100.0,1947.3920830900317,4787.191702910223
r2p8_w256_di32,4,1696,geopotential,125.0,1600.7544679412317,2155.9622330393577
r2p8_w256_di32,4,1696,geopotential,150.0,1447.6305559610582,1912.2454172036082
r2p8_w256_di32,4,1696,geopotential,175.0,1401.25583080803,3253.4827316231745
r2p8_w256_di32,4,1696,geopotential,200.0,1392.0184857240656,2358.0092227267237
r2p8_w256_di32,4,1696,geopotential,225.0,1334.66822119644,1957.5964398256283
r2p8_w256_di32,4,1696,geopotential,250.0,1327.4334120707824,1643.0604089481315
r2p8_w256_di32,4,1696,geopotential,300.0,1326.4102626734993,2168.255401464508
r2p8_w256_di32,4,1696,geopotential,350.0,1262.2029262057695,1616.6499869959462
r2p8_w256_di32,4,1696,geopotential,400.0,1164.8296497043466,1624.9330230817761
r2p8_w256_di32,4,1696,geopotential,450.0,1068.8698042512349,1406.8028685684467
r2p8_w256_di32,4,1696,geopotential,500.0,984.3614905078796,1334.903399049949
r2p8_w256_di32,4,1696,geopotential,550.0,916.9645822636451,1282.6162849347616
r2p8_w256_di32,4,1696,geopotential,600.0,874.5392489403794,1219.5442618143927
r2p8_w256_di32,4,1696,geopotential,650.0,845.6806461714388,1285.1459387500672
r2p8_w256_di32,4,1696,geopotential,700.0,839.1996944886303,1185.1415447641484
r2p8_w256_di32,4,1696,geopotential,750.0,838.9861821859563,1263.2354313906117
r2p8_w256_di32,4,1696,geopotential,775.0,849.8817782372544,1305.9380850146317
r2p8_w256_di32,4,1696,geopotential,800.0,859.8848000018457,1297.8749361962387
r2p8_w256_di32,4,1696,geopotential,825.0,876.5115020856824,1301.0808244318487
